file,csv,rows,cols,seconds,error
a2_q02_B.mdx,a2_q02_B.csv,9,6,0.074,
a2_q03_A.mdx,a2_q03_A.csv,37,4,0.035,
a2_q04_B.mdx,a2_q04_B.csv,12,4,0.039,
a2_q07_A.mdx,a2_q07_A.csv,21,4,0.03,
a2_q08_B.mdx,a2_q08_B.csv,8,3,0.032,
a2_q10_B.mdx,a2_q10_B.csv,10,3,0.032,
a2_q11_A.mdx,a2_q11_A.csv,4,2,0.021,
a2_q12_B.mdx,a2_q12_B.csv,45,4,0.036,
a2_q19_A.mdx,a2_q19_A.csv,13,5,0.037,
a2_q28_A.mdx,a2_q28_A.csv,10,3,0.03,
a2_q31.mdx,a2_q31.csv,10,4,0.034,
a2_q32.mdx,a2_q32.csv,10,4,0.036,
a2_q33.mdx,a2_q33.csv,20,6,0.047,
